Pixel,Thickness (nm),
5789.000000,75.896622,
5805.000000,169.710007,
5806.000000,192.004944,
5809.000000,182.783264,
5810.000000,151.793243,
5822.000000,75.896622,
5836.000000,203.651993,
5845.000000,169.710007,
5897.000000,169.710007,
5903.000000,237.593994,
5904.000000,214.668060,
5906.000000,151.793243,
5929.000000,169.710007,
5945.000000,182.783264,
5961.000000,173.070923,
5962.000000,206.461136,
5967.000000,173.070923,
5984.000000,135.768005,
6026.000000,144.003708,
6035.000000,169.710007,
6061.000000,67.884003,
6074.000000,139.946442,
6079.000000,122.379623,
6104.000000,96.002472,
6122.000000,173.070923,
6123.000000,182.783264,
6128.000000,169.710007,
6129.000000,151.793243,
6144.000000,33.942001,
6165.000000,237.593994,
6173.000000,227.689850,
6187.000000,75.896622,
6194.000000,122.379623,
6230.000000,151.793243,
6239.000000,75.896622,
6289.000000,192.004944,
6290.000000,214.668060,
6302.000000,214.668060,
6303.000000,206.461136,
6307.000000,206.461136,
6308.000000,214.668060,
6309.000000,227.689850,
6311.000000,203.651993,
6333.000000,214.668060,
6337.000000,203.651993,
6384.000000,169.710007,
6388.000000,192.004944,
6389.000000,169.710007,
6409.000000,237.593994,
6422.000000,67.884003,
6431.000000,139.946442,
6492.000000,139.946442,
6505.000000,173.070923,
6527.000000,122.379623,
6545.000000,182.783264,
6546.000000,214.668060,
6554.000000,214.668060,
6555.000000,192.004944,
6588.000000,122.379623,
6598.000000,169.710007,
6604.000000,214.668060,
6631.000000,197.914169,
6632.000000,227.689850,
6642.000000,192.004944,
6643.000000,169.710007,
6673.000000,214.668060,
6689.000000,192.004944,
6690.000000,169.710007,
6709.000000,214.668060,
6732.000000,48.001236,
6733.000000,75.896622,
6764.000000,107.334030,
6795.000000,206.461136,
6796.000000,240.006180,
6798.000000,203.651993,
6812.000000,75.896622,
6846.000000,75.896622,
6861.000000,227.689850,
6868.000000,203.651993,
6922.000000,169.710007,
6923.000000,197.914169,
6925.000000,214.668060,
6926.000000,206.461136,
6954.000000,169.710007,
6955.000000,197.914169,
6969.000000,197.914169,
6987.000000,237.593994,
6990.000000,214.668060,
7008.000000,135.768005,
7034.000000,144.003708,
7050.000000,169.710007,
7057.000000,214.668060,
7058.000000,182.783264,
7085.000000,75.896622,
7098.000000,135.768005,
7104.000000,122.379623,
7117.000000,135.768005,
7129.000000,75.896622,
7141.000000,169.710007,
7148.000000,169.710007,
7149.000000,192.004944,
7151.000000,169.710007,
7157.000000,101.825996,
7168.000000,33.942001,
7190.000000,271.536011,
7197.000000,240.006180,
7210.000000,75.896622,
7218.000000,96.002472,
7254.000000,139.946442,
7264.000000,75.896622,
7315.000000,197.914169,
7316.000000,217.334839,
7324.000000,217.334839,
7325.000000,197.914169,
7358.000000,227.689850,
7359.000000,258.494568,
7409.000000,217.334839,
7410.000000,217.334839,
7411.000000,192.004944,
7446.000000,48.001236,
7455.000000,122.379623,
7474.000000,173.070923,
7500.000000,169.710007,
7516.000000,144.003708,
7529.000000,182.783264,
7551.000000,139.946442,
7571.000000,217.334839,
7572.000000,244.759247,
7576.000000,217.334839,
7577.000000,197.914169,
7613.000000,139.946442,
7622.000000,192.004944,
7628.000000,227.689850,
7664.000000,217.334839,
7665.000000,192.004944,
7680.000000,169.710007,
7698.000000,258.494568,
7711.000000,227.689850,
7712.000000,197.914169,
7734.000000,240.006180,
7735.000000,265.095490,
7755.000000,48.001236,
7788.000000,107.334030,
7835.000000,75.896622,
7869.000000,75.896622,
7886.000000,247.101486,
7909.000000,192.004944,
7953.000000,169.710007,
7980.000000,214.668060,
7981.000000,240.006180,
7989.000000,247.101486,
7990.000000,240.006180,
7991.000000,237.593994,
