Pixel,Thickness (nm),
21370.000000,135.768005,
21392.000000,96.002472,
21411.000000,48.001236,
21423.000000,96.002472,
21473.000000,48.001236,
21484.000000,96.002472,
21533.000000,67.884003,
21585.000000,107.334030,
21620.000000,139.946442,
21695.000000,67.884003,
21747.000000,169.710007,
21774.000000,67.884003,
21789.000000,33.942001,
21814.000000,33.942001,
21839.000000,48.001236,
21849.000000,135.768005,
21882.000000,75.896622,
21883.000000,96.002472,
21884.000000,107.334030,
21885.000000,122.379623,
21886.000000,107.334030,
21887.000000,96.002472,
21888.000000,75.896622,
21905.000000,75.896622,
21922.000000,67.884003,
21923.000000,67.884003,
21950.000000,107.334030,
21991.000000,96.002472,
22003.000000,75.896622,
22022.000000,107.334030,
22051.000000,169.710007,
22064.000000,122.379623,
22228.000000,122.379623,
22270.000000,75.896622,
22275.000000,144.003708,
22293.000000,96.002472,
22298.000000,96.002472,
22303.000000,192.004944,
22304.000000,217.334839,
22305.000000,217.334839,
22326.000000,135.768005,
22338.000000,139.946442,
22394.000000,122.379623,
22416.000000,96.002472,
22448.000000,96.002472,
22449.000000,122.379623,
22496.000000,48.001236,
22507.000000,96.002472,
22558.000000,48.001236,
22608.000000,122.379623,
22632.000000,33.942001,
22643.000000,151.793243,
22772.000000,169.710007,
22799.000000,48.001236,
22813.000000,33.942001,
22829.000000,33.942001,
22839.000000,33.942001,
22873.000000,122.379623,
22929.000000,96.002472,
22948.000000,75.896622,
22949.000000,96.002472,
22973.000000,122.379623,
23014.000000,96.002472,
23028.000000,75.896622,
23047.000000,122.379623,
23075.000000,151.793243,
23088.000000,96.002472,
23141.000000,48.001236,
23177.000000,169.710007,
23179.000000,144.003708,
23180.000000,122.379623,
23181.000000,96.002472,
23251.000000,122.379623,
23300.000000,144.003708,
23318.000000,107.334030,
23321.000000,107.334030,
23350.000000,135.768005,
23362.000000,151.793243,
23418.000000,107.334030,
23439.000000,96.002472,
23474.000000,122.379623,
23519.000000,48.001236,
23530.000000,96.002472,
23628.000000,48.001236,
23629.000000,75.896622,
23631.000000,122.379623,
23656.000000,48.001236,
23666.000000,169.710007,
23796.000000,144.003708,
23823.000000,48.001236,
23854.000000,33.942001,
23897.000000,107.334030,
23954.000000,75.896622,
23962.000000,33.942001,
23974.000000,96.002472,
23975.000000,122.379623,
23976.000000,139.946442,
23995.000000,122.379623,
23996.000000,122.379623,
24037.000000,96.002472,
24053.000000,75.896622,
24072.000000,107.334030,
24099.000000,139.946442,
24112.000000,75.896622,
24165.000000,67.884003,
24201.000000,151.793243,
24206.000000,96.002472,
24207.000000,75.896622,
24275.000000,122.379623,
24325.000000,139.946442,
24374.000000,107.334030,
24386.000000,139.946442,
24442.000000,96.002472,
24462.000000,96.002472,
24499.000000,122.379623,
24543.000000,67.884003,
24553.000000,75.896622,
24593.000000,33.942001,
24648.000000,33.942001,
24649.000000,48.001236,
24650.000000,67.884003,
24651.000000,67.884003,
